Name,Title,Href,Countries,Services,Thumbnail,Logo,Description
sand and vanish,Wood and timber,/products/sand-and-vanish,"sg,my",maintenance,websites/products/thumbnails/Wood%20and%20Timber%20thumbnail.jpeg,websites/products/logos/logo-repairation.svg,"Expert Wood Services: Comprehensive and efficient wood maintenance, ensuring stunning results with minimal dust for a pristine finish. Discover our exceptional wood care solutions."
accoya,Treated timber Accoya®,/products/accoya,"sg,my",exterior,websites/products/thumbnails/Accoya.jpg,websites/products/logos/logo-accoya.svg,"Sustainable acetylated Pine: High Durability, Termite-Fungal-Water Resistance. Perfect for All Weather Conditions."
calvary composite,Composite Decking,/products/calvary-composite,"sg,my",exterior,websites/products/thumbnails/Composite%20Decking.jpg,websites/products/logos/logo-calvary-composite.svg,"#1 Removable Decking in Singapore. Experience Lasting Beauty, Unmatched Durability, and Effortless Maintenance."
kandinsky,engineered flooring,https://k-floors.com,"sg,my",interior,websites/products/thumbnails/Engineered%20Flooring.jpg,websites/products/logos/logo-kandinsky.svg,Where Art Meets Wood: Kandinsky® - Explore Our Timber. Experience the Beauty of Natural Patterns and a Broad Spectrum of Colors.
moso bamboo,MOSO® Bamboo,/products/moso-bamboo,my,exterior,websites/products/thumbnails/MOSO%20Bamboo.jpeg,websites/products/logos/logo-moso.svg,"Discover reconstituted Bamboo, the fastest growing and sustainable material with high durability and class 0 fire rating. Available for outdoor and indoors."
osmo,OSMO®,/products/osmo,"sg,my",maintenance,websites/products/thumbnails/Osmo%20Thumbnail.jpg,websites/products/logos/logo-osmo.svg,"Seamless Wood Finishing Excellence: 140+ Years of Innovation. Unrivaled Coating Systems for Ultimate Protection, Beauty, and Maintenance Simplification."
silverwood,Silverwood®,/products/silverwood,"sg,my",maintenance,websites/products/thumbnails/Silverwood%20Thumbnail.jpg,websites/products/logos/logo-silverwood.svg,"Eco-friendly Silverwood Coating: Stunning Natural Finish, Enhanced Protection Against Fungi & Fire, Low Maintenance, and Solar Reflective - Transforming Wood Sustainability."
timber decking,timber decking,/products/timber-decking,"sg,my","interior,exterior",websites/products/thumbnails/Timber%20Decking.jpg,websites/products/logos/logo-timber-decking.svg,"Discover Unrivalled Woodwork and High-Performance Timbers. Endless Possibilities: Trellis, Benches, Cladding, Ceilings, Screens."
dasso ctech,Dasso® CTECH Bamboo,/products/dasso-ctech,sg,exterior,websites/products/thumbnails/dasso.jpg,websites/products/logos/icon-dasso.svg,"Sustainable Class 0 fire-rated bamboo : Dasso CTECH: highly durable and resistant to weather, mould, soft rot, and insects. "
