id,created_at,name,title,description,image,countries,is_exist,logo,categories
8,2024-03-08 13:15:40.597813+00,sand and vanish,Wood and timber,"Expert Wood Services: Comprehensive and efficient wood maintenance, ensuring stunning results with minimal dust for a pristine finish. Discover our exceptional wood care solutions.",websites/products/thumbnails/Wood%20and%20Timber%20thumbnail.jpeg,"[""sg"",""my""]",true,,"[""maintenance""]"
5,2024-03-08 13:13:58.637767+00,accoya,Treated timber Accoya®,"Sustainable acetylated Pine: High Durability, Termite-Fungal-Water Resistance. Perfect for All Weather Conditions.",websites/products/thumbnails/Accoya.jpg,"[""sg"",""my""]",true,,"[""exterior""]"
1,2024-03-08 13:11:12.102754+00,calvary composite,Composite Decking,"#1 Removable Decking in Singapore.  Experience Lasting Beauty, Unmatched Durability, and Effortless Maintenance.",websites/products/thumbnails/Composite%20Decking.jpg,"[""sg"",""my""]",true,,"[""exterior""]"
2,2024-03-08 13:11:44.153261+00,kandinsky,engineered flooring,Where Art Meets Wood: Kandinsky® - Explore Our Timber. Experience the Beauty of Natural Patterns and a Broad Spectrum of Colors.,websites/products/thumbnails/Engineered%20Flooring.jpg,"[""sg"",""my""]",true,,"[""interior""]"
4,2024-03-08 13:13:27.41225+00,moso bamboo,MOSO® Bamboo,"Discover reconstituted Bamboo, the fastest growing and sustainable material with high durability and class 0 fire rating. Available for outdoor and indoors.",websites/products/thumbnails/MOSO%20Bamboo.jpeg,"[""my""]",true,,"[""exterior""]"
6,2024-03-08 13:14:36.574698+00,osmo,OSMO®,"Seamless Wood Finishing Excellence: 140+ Years of Innovation. Unrivaled Coating Systems for Ultimate Protection, Beauty, and Maintenance Simplification.",websites/products/thumbnails/Osmo%20Thumbnail.jpg,"[""sg"",""my""]",true,,"[""maintenance""]"
7,2024-03-08 13:15:02.654395+00,silverwood,Silverwood®,"Eco-friendly Silverwood Coating: Stunning Natural Finish, Enhanced Protection Against Fungi & Fire, Low Maintenance, and Solar Reflective - Transforming Wood Sustainability.",websites/products/thumbnails/Silverwood%20Thumbnail.jpg,"[""sg"",""my""]",true,,"[""maintenance""]"
3,2024-03-08 13:12:21.008731+00,timber decking,timber decking,"Discover Unrivalled Woodwork and High-Performance Timbers. Endless Possibilities: Trellis, Benches, Cladding, Ceilings, Screens.",websites/products/thumbnails/Timber%20Decking.jpg,"[""sg"",""my""]",true,,"[""interior"",""exterior""]"
